Resolver	Tranco_num	Malicious_num	Malicious_same	Malicious_diff_rcode	Malicious_diff_a_pdns	Malicious_diff_a_private	Malicious_diff_a_self_sinkhole
92.114.214.38	47	4970	3495	102	1373	1353	15	0	
93.115.143.202	47	4969	3494	102	1373	1355	13	0	
93.116.225.191	48	4979	3505	103	1371	1354	12	0	
93.91.154.205	47	4960	1669	1455	1836	0	1	0	
94.127.63.10	49	4889	3238	1524	127	0	15	0	
93.116.243.9	48	4963	3473	119	1371	1352	14	0	
93.179.216.106	49	4977	315	1277	3385	0	0	0	
93.116.2.94	47	4973	3499	102	1372	1355	12	0	
92.82.192.215	47	4893	3433	105	1355	0	0	0	
93.115.141.14	47	4976	3511	973	492	473	14	0	
93.115.142.14	48	4970	3495	101	1374	1355	14	0	
93.91.250.101	47	4973	1662	1480	1831	0	1	0	
93.119.200.152	47	4976	3501	103	1372	1353	14	0	
92.115.181.104	48	4969	3497	102	1370	1352	13	0	
92.86.127.135	49	4985	3470	151	1364	0	14	0	
93.115.143.244	48	4968	3501	874	593	573	15	0	
93.91.145.6	47	4976	1670	1456	1850	0	1	0	
92.105.145.169	49	4985	2360	1224	1401	2	1	0	
94.142.42.243	48	4872	3391	55	1426	0	2	0	
92.86.119.92	48	4966	3466	146	1354	0	15	0	
92.115.3.157	49	4984	3507	103	1374	1355	14	0	
94.102.53.65	49	4980	3509	1065	406	0	14	0	
92.115.145.67	47	4959	3491	103	1365	1347	13	0	
94.127.59.9	49	4941	3247	1564	130	0	15	0	
94.127.63.7	48	4839	3235	1481	123	0	11	0	
93.115.137.134	49	4979	3511	1178	290	271	14	0	
93.86.61.125	48	4967	3500	1084	383	0	13	0	
92.105.6.71	47	4983	2358	1224	1401	2	1	0	
93.89.169.105	48	4981	3455	1409	117	98	14	0	
93.119.141.249	48	4976	3512	992	472	453	14	0	
93.119.161.138	48	4961	3494	103	1364	1345	14	0	
92.115.247.54	47	4990	3511	104	1375	1355	15	0	
94.127.63.5	47	4873	3262	1486	125	0	13	0	
93.116.4.14	47	4990	3517	913	560	540	14	0	
92.115.190.114	48	4977	3503	101	1373	1355	13	0	
92.114.163.96	48	4969	3489	108	1372	1353	14	0	
92.115.212.21	49	4978	3501	103	1374	1355	14	0	
93.119.109.253	49	4966	3495	102	1369	1351	13	0	
94.130.188.123	42	4292	2596	1657	39	26	10	0	
94.176.66.227	49	4989	3511	103	1375	1355	15	0	
92.115.172.140	47	4958	3491	101	1366	1348	13	0	
93.74.228.118	47	4968	3341	1575	52	0	0	0	
93.119.142.62	48	4979	3501	103	1375	1355	15	0	
93.116.83.82	47	4963	3487	105	1371	1352	14	0	
